hygro;temperature;date;heure;hygro_lissee;hygro_Bis;hygro_Ter;temperature_lissee;temperature_Bis;temperature_Ter
65.25;18.64;2023-11-11;06:23:51;64.4469475;64.59767;64.29622499999999;18.7130975;18.69536;18.730835
65.28;18.66;2023-11-11;06:23:52;64.44644249999999;64.59785;64.295035;18.71311;18.695265;18.730954999999998
65.3;18.64;2023-11-11;06:23:53;64.4459375;64.59805;64.293825;18.713115000000002;18.695169999999997;18.731060000000003
65.33;18.64;2023-11-11;06:23:54;64.445445;64.59827;64.29262;18.71313;18.695074999999996;18.731185
65.35;18.63;2023-11-11;06:23:55;64.4449575;64.598505;64.29141;18.713137500000002;18.694965;18.73131
65.36;18.65;2023-11-11;06:23:56;64.44448249999999;64.59877;64.290195;18.713160000000002;18.694885000000003;18.731434999999998
65.38;18.64;2023-11-11;06:23:57;64.4440075;64.59904;64.288975;18.713167499999997;18.694785;18.73155
65.43;18.65;2023-11-11;06:23:58;64.443555;64.59935;64.28775999999999;18.713179999999998;18.694684999999996;18.731675
65.43;18.63;2023-11-11;06:23:59;64.44309;64.599665;64.286515;18.713185000000003;18.694585;18.731785000000002
65.44;18.65;2023-11-11;06:24:00;64.442645;64.600005;64.285285;18.7132;18.694495000000003;18.731904999999998
65.47;18.68;2023-11-11;06:24:02;64.442205;64.60037;64.28404;18.7132175;18.69442;18.732015
65.48;18.64;2023-11-11;06:24:03;64.4417625;64.60074499999999;64.28278;18.713227500000002;18.694335000000002;18.73212
65.51;18.65;2023-11-11;06:24:04;64.44134249999999;64.601165;64.28152;18.713245;18.694245;18.732245
65.54;18.66;2023-11-11;06:24:05;64.440925;64.60160499999999;64.28024500000001;18.713252500000003;18.69416;18.732345000000002
65.54;18.63;2023-11-11;06:24:06;64.44050250000001;64.60206000000001;64.27894500000001;18.71326;18.69407;18.73245
65.53;18.65;2023-11-11;06:24:07;64.4400875;64.602535;64.27764;18.7132825;18.69399;18.732575
65.53;18.64;2023-11-11;06:24:08;64.43968;64.60301;64.27635;18.713295000000002;18.693895;18.732695
65.51;18.63;2023-11-11;06:24:09;64.43927;64.603485;64.275055;18.7133025;18.69379;18.732815000000002
65.51;18.63;2023-11-11;06:24:10;64.43887;64.60396999999999;64.27377;18.7133125;18.69369;18.732934999999998
65.47;18.66;2023-11-11;06:24:11;64.4384675;64.604445;64.27249;18.713340000000002;18.69362;18.733060000000002
65.46;18.65;2023-11-11;06:24:12;64.43807000000001;64.60492500000001;64.271215;18.71335;18.69353;18.73317
65.42;18.68;2023-11-11;06:24:13;64.43767;64.605395;64.26994499999999;18.713369999999998;18.693454999999997;18.733285
65.38;18.64;2023-11-11;06:24:14;64.437275;64.605845;64.268705;18.7133775;18.693369999999998;18.733385000000002
65.35;18.65;2023-11-11;06:24:15;64.43688499999999;64.606285;64.267485;18.7133975;18.69329;18.733505
65.34;18.66;2023-11-11;06:24:16;64.4364975;64.60673;64.266265;18.713415;18.693205000000003;18.733625
65.32;18.63;2023-11-11;06:24:17;64.43611;64.607165;64.265055;18.7134175;18.693105;18.73373
65.28;18.65;2023-11-11;06:24:18;64.43571750000001;64.60758;64.263855;18.71344;18.693025000000002;18.733855
65.29;18.66;2023-11-11;06:24:19;64.4353375;64.60801000000001;64.262665;18.7134625;18.692954999999998;18.733969999999996
65.26;18.64;2023-11-11;06:24:20;64.4349575;64.608435;64.26148;18.7134675;18.692859999999996;18.734075
65.3;18.66;2023-11-11;06:24:21;64.434605;64.60889;64.26032;18.7134925;18.692790000000002;18.734195
65.29;18.64;2023-11-11;06:24:22;64.4342375;64.60934;64.259135;18.713502499999997;18.692705;18.734299999999998
65.28;18.63;2023-11-11;06:24:23;64.4338775;64.60979;64.257965;18.71351;18.692605;18.734415000000002
65.33;18.68;2023-11-11;06:24:24;64.433535;64.61027;64.2568;18.713542500000003;18.69255;18.734535
65.33;18.65;2023-11-11;06:24:25;64.4331825;64.61074500000001;64.25562;18.7135575;18.692474999999998;18.73464
65.35;18.65;2023-11-11;06:24:26;64.43283500000001;64.61123;64.25444;18.7135725;18.692385;18.73476
65.38;18.65;2023-11-11;06:24:27;64.4325025;64.61174;64.253265;18.7135825;18.692295;18.734869999999997
65.4;18.65;2023-11-11;06:24:28;64.43219250000001;64.61226;64.252125;18.713595;18.692205;18.734985
65.42;18.65;2023-11-11;06:24:29;64.4318825;64.61279;64.250975;18.7136075;18.692114999999998;18.7351
65.44;18.69;2023-11-11;06:24:30;64.431645;64.613325;64.249965;18.7136325;18.692044999999997;18.73522
65.46;18.66;2023-11-11;06:24:31;64.431485;64.613875;64.249095;18.713645;18.691975000000003;18.735315
65.47;18.66;2023-11-11;06:24:33;64.43131;64.614405;64.248215;18.7136575;18.69189;18.735425
65.48;18.63;2023-11-11;06:24:34;64.43115999999999;64.61493999999999;64.24737999999999;18.7136675;18.691805;18.735529999999997
65.47;18.65;2023-11-11;06:24:35;64.43082;64.615445;64.246195;18.713684999999998;18.691715;18.735655
65.48;18.66;2023-11-11;06:24:36;64.4304825;64.615945;64.24502;18.7137;18.69163;18.73577
65.46;18.66;2023-11-11;06:24:37;64.43013250000001;64.61642;64.24384500000001;18.71371;18.691544999999998;18.735875
65.47;18.66;2023-11-11;06:24:38;64.4297875;64.616885;64.24269;18.713725;18.691470000000002;18.735979999999998
65.44;18.65;2023-11-11;06:24:39;64.42942500000001;64.61732;64.24153000000001;18.71374;18.691395;18.736085
65.43;18.64;2023-11-11;06:24:40;64.42906500000001;64.61774;64.24039;18.713749999999997;18.691300000000002;18.736199999999997
65.39;18.64;2023-11-11;06:24:41;64.4286975;64.618145;64.23925;18.713772499999997;18.69122;18.736324999999997
65.35;18.64;2023-11-11;06:24:42;64.42833;64.618525;64.238135;18.7137925;18.69114;18.736445
65.31;18.64;2023-11-11;06:24:43;64.42796000000001;64.618875;64.23704500000001;18.713805;18.691045000000003;18.736565
65.28;18.63;2023-11-11;06:24:44;64.4275825;64.619195;64.23597;18.713817499999998;18.690955;18.73668
65.27;18.63;2023-11-11;06:24:45;64.4272125;64.61952;64.234905;18.713837499999997;18.690875;18.7368
65.22;18.65;2023-11-11;06:24:46;64.426835;64.61982499999999;64.233845;18.713859999999997;18.690794999999998;18.736925
65.21;18.64;2023-11-11;06:24:47;64.4264675;64.620125;64.23281;18.71388;18.69072;18.73704
65.2;18.65;2023-11-11;06:24:48;64.4260875;64.620405;64.23177;18.713900000000002;18.69064;18.737160000000003
65.19;18.65;2023-11-11;06:24:49;64.42572000000001;64.62068500000001;64.230755;18.7139175;18.69056;18.737275
65.17;18.64;2023-11-11;06:24:50;64.425345;64.620965;64.229725;18.7139325;18.690475;18.737389999999998
65.19;18.68;2023-11-11;06:24:51;64.4249825;64.62126;64.228705;18.7139575;18.69041;18.737505000000002
65.19;18.65;2023-11-11;06:24:52;64.42460499999999;64.621535;64.22767499999999;18.713965;18.69032;18.73761
65.18;18.64;2023-11-11;06:24:53;64.424225;64.62181;64.22664;18.7139825;18.690235;18.73773
65.16;18.64;2023-11-11;06:24:54;64.423835;64.62207;64.2256;18.7139975;18.690150000000003;18.737845
65.12;18.65;2023-11-11;06:24:55;64.4236375;64.622305;64.22497;18.714017499999997;18.69007;18.737965
65.12;18.65;2023-11-11;06:24:56;64.42345;64.62254;64.22436;18.714045;18.69;18.73809
65.11;18.66;2023-11-11;06:24:57;64.42322999999999;64.62276;64.2237;18.714064999999998;18.68993;18.738199999999996
65.9;18.68;2023-11-11;06:24:58;64.42316;64.623375;64.222945;18.7140825;18.689854999999998;18.738310000000002
65.7;18.66;2023-11-11;06:24:59;64.4228375;64.62388;64.221795;18.714087499999998;18.68977;18.738405
65.6;18.65;2023-11-11;06:25:00;64.422465;64.624335;64.220595;18.714097499999998;18.689679999999996;18.738515
65.3;18.66;2023-11-11;06:25:01;64.42200499999998;64.62461499999999;64.21939499999999;18.714109999999998;18.689595;18.738625
65.0;18.68;2023-11-11;06:25:02;64.421595;64.62474499999999;64.218445;18.714127500000004;18.68952;18.738735000000002
64.99;18.66;2023-11-11;06:25:04;64.42127500000001;64.624855;64.217695;18.714139999999997;18.689449999999997;18.738829999999997
64.98;18.66;2023-11-11;06:25:05;64.4209025;64.624955;64.21685;18.714154999999998;18.689375;18.738935
64.96;18.65;2023-11-11;06:25:06;64.4205475;64.625035;64.21606;18.714172499999997;18.6893;18.739044999999997
64.95;18.68;2023-11-11;06:25:07;64.420165;64.6251;64.21523;18.714199999999998;18.689235;18.739165
64.95;18.66;2023-11-11;06:25:08;64.4197575;64.62516;64.214355;18.7142175;18.68916;18.739275
64.93;18.68;2023-11-11;06:25:09;64.41937250000001;64.625215;64.21353;18.7142375;18.689095;18.73938
64.96;18.68;2023-11-11;06:25:10;64.41902;64.625275;64.212765;18.714255;18.689035;18.739475000000002
