hygro;temperature;date;heure;hygro_lissee;hygro_Bis;hygro_Ter;temperature_lissee;temperature_Bis;temperature_Ter
74.56;18.24;2023-11-10;07:48:00;74.64864749999998;76.21078499999999;73.08650999999999;18.2720525;18.31475;18.229354999999998
74.55;18.24;2023-11-10;07:48:01;74.6477525;76.21007;73.085435;18.2720225;18.31466;18.229384999999997
74.52;18.25;2023-11-10;07:48:02;74.64684500000001;76.20933000000001;73.08436;18.271990000000002;18.314565;18.229415
74.52;18.24;2023-11-10;07:48:03;74.64595;76.20859000000002;73.08331;18.271955;18.314474999999998;18.229435000000002
74.52;18.25;2023-11-10;07:48:04;74.6450525;76.20785000000001;73.082255;18.271935;18.31439;18.22948
74.51;18.25;2023-11-10;07:48:05;74.64415;76.20710500000001;73.081195;18.271900000000002;18.3143;18.2295
74.52;18.24;2023-11-10;07:48:06;74.64326249999999;76.206375;73.08015;18.2718625;18.3142;18.229525000000002
74.52;18.24;2023-11-10;07:48:07;74.64236499999998;76.205635;73.07909499999998;18.271834999999996;18.314109999999996;18.22956
74.5;18.22;2023-11-10;07:48:08;74.64147;76.204895;73.078045;18.271794999999997;18.314004999999998;18.229585
74.49;18.25;2023-11-10;07:48:09;74.640575;76.20414;73.07701;18.271769999999997;18.313914999999998;18.229625
74.5;18.24;2023-11-10;07:48:10;74.63968249999999;76.203395;73.07597;18.2717375;18.31382;18.229654999999998
74.48;18.21;2023-11-10;07:48:11;74.6387825;76.202635;73.07493000000001;18.2717025;18.31371;18.229695
74.49;18.22;2023-11-10;07:48:12;74.63786250000001;76.20183;73.07389500000001;18.27168;18.31361;18.22975
74.49;18.25;2023-11-10;07:48:13;74.63696250000001;76.20108;73.072845;18.27166;18.313525000000002;18.229795
74.49;18.21;2023-11-10;07:48:14;74.636065;76.20032499999999;73.071805;18.27162;18.313415;18.229825
74.49;18.24;2023-11-10;07:48:15;74.63514;76.19952;73.07075999999999;18.27159;18.313315;18.229865
74.46;18.24;2023-11-10;07:48:16;74.63423;76.19875;73.06971;18.2715575;18.313215;18.2299
74.46;18.24;2023-11-10;07:48:17;74.6333325;76.19798999999999;73.068675;18.271525;18.31312;18.22993
74.46;18.24;2023-11-10;07:48:18;74.632405;76.19717;73.06764;18.271495;18.313025000000003;18.229965
74.47;18.25;2023-11-10;07:48:19;74.63151500000001;76.19642;73.06661;18.2714725;18.312945;18.23
74.49;18.24;2023-11-10;07:48:20;74.6305625;76.195565;73.06555999999999;18.271437499999998;18.312849999999997;18.230025
74.46;18.24;2023-11-10;07:48:21;74.62959749999999;76.194695;73.0645;18.271402499999997;18.312754999999996;18.23005
74.49;18.22;2023-11-10;07:48:22;74.62870249999999;76.19393999999998;73.063465;18.2713725;18.312655;18.23009
74.46;18.24;2023-11-10;07:48:23;74.62774;76.19307;73.06241;18.2713425;18.312559999999998;18.230125
74.48;18.22;2023-11-10;07:48:24;74.626845;76.19230999999999;73.06138;18.2713125;18.312465;18.23016
74.48;18.22;2023-11-10;07:48:25;74.625915;76.1915;73.06033000000001;18.271282499999998;18.31236;18.230204999999998
74.47;18.22;2023-11-10;07:48:27;74.62498500000001;76.190685;73.059285;18.2712575;18.312265;18.23025
74.46;18.22;2023-11-10;07:48:28;74.6240025;76.189765;73.05824000000001;18.271230000000003;18.312165;18.230295
74.49;18.24;2023-11-10;07:48:29;74.6231;76.18901;73.05719;18.271205000000002;18.312075;18.230335
74.46;18.21;2023-11-10;07:48:30;74.62216000000001;76.18819;73.05613000000001;18.271169999999998;18.311974999999997;18.230365
74.48;18.26;2023-11-10;07:48:31;74.6211825;76.18728;73.055085;18.2711525;18.311895;18.23041
74.49;18.24;2023-11-10;07:48:32;74.6202275;76.186425;73.05403;18.271117500000003;18.311805;18.230430000000002
74.46;18.24;2023-11-10;07:48:33;74.6192125;76.185455;73.05297;18.27109;18.311715;18.230465
